Class,Branch,Count_GA,Count_RW
com.lts.io.DirectoryScanner,101,26,0
com.lts.io.DirectoryScanner,75,24,2
com.lts.io.DirectoryScanner,20,30,3
com.lts.io.DirectoryScanner,123,30,6
com.lts.io.DirectoryScanner,122,30,9
com.lts.io.DirectoryScanner,210,30,13
com.lts.io.DirectoryScanner,171,30,24
com.lts.io.DirectoryScanner,137,30,25
com.lts.io.DirectoryScanner,16,30,30
com.lts.io.DirectoryScanner,4,30,30
com.lts.swing.combobox.SimpleComboBox,11,29,11
com.mentorgen.tools.profile.runtime.Profile,21,30,0
com.mentorgen.tools.profile.runtime.Profile,20,18,5
com.mentorgen.tools.profile.runtime.Profile,68,30,12
com.mentorgen.tools.profile.runtime.Profile,53,30,30
com.mentorgen.tools.profile.runtime.Profile,27,30,1
com.mytdev.resources4j.impl.AbstractResources,40,0,0
com.mytdev.resources4j.impl.AbstractResources,57,0,0
com.mytdev.resources4j.impl.AbstractResources,25,0,0
com.mytdev.resources4j.impl.AbstractResources,147,0,0
com.mytdev.resources4j.impl.AbstractResources,164,0,0
com.mytdev.resources4j.impl.AbstractResources,6,0,0
com.mytdev.resources4j.impl.AbstractResources,37,0,0
com.mytdev.resources4j.impl.AbstractResources,88,0,0
com.mytdev.resources4j.impl.AbstractResources,90,0,0
com.mytdev.resources4j.impl.AbstractResources,127,0,0
com.mytdev.resources4j.impl.AbstractResources,75,0,0
com.mytdev.resources4j.impl.AbstractResources,72,0,0
com.mytdev.resources4j.impl.AbstractResources,115,0,0
com.pmdesigns.jvc.tools.JVCParser,33,0,0
com.pmdesigns.jvc.tools.JVCParser,34,1,0
com.pmdesigns.jvc.tools.JVCParser,35,0,0
com.pmdesigns.jvc.tools.JVCParser,180,0,0
com.pmdesigns.jvc.tools.JVCParser,24,1,0
com.pmdesigns.jvc.tools.JVCParser,61,0,0
com.pmdesigns.jvc.tools.JVCParser,46,0,0
com.pmdesigns.jvc.tools.JVCParser,89,0,0
com.pmdesigns.jvc.tools.JVCParser,18,0,0
com.pmdesigns.jvc.tools.JVCParser,117,0,0
com.pmdesigns.jvc.tools.JVCParser,67,0,0
com.pmdesigns.jvc.tools.JVCParser,97,0,0
com.pmdesigns.jvc.tools.JVCParser,111,0,0
com.pmdesigns.jvc.tools.JVCParser,27,30,30
com.pmdesigns.jvc.tools.JVCParser,25,30,30
com.pmdesigns.jvc.tools.TokenMgrError,19,30,30
com.pmdesigns.jvc.tools.TokenMgrError,2,30,30
com.puppycrawl.tools.checkstyle.api.AutomaticBean,7,30,30
com.puppycrawl.tools.checkstyle.api.FileContents,18,30,30
com.puppycrawl.tools.checkstyle.api.FileContents,3,30,30
com.puppycrawl.tools.checkstyle.api.FileContents,10,30,30
com.puppycrawl.tools.checkstyle.api.FileText,24,2,0
com.puppycrawl.tools.checkstyle.api.FileText,22,30,17
com.puppycrawl.tools.checkstyle.utils.AnnotationUtility,20,0,0
com.puppycrawl.tools.checkstyle.utils.AnnotationUtility,23,30,30
com.puppycrawl.tools.checkstyle.utils.ScopeUtils,103,1,0
com.puppycrawl.tools.checkstyle.utils.ScopeUtils,107,0,0
com.puppycrawl.tools.checkstyle.utils.ScopeUtils,49,29,8
com.puppycrawl.tools.checkstyle.utils.ScopeUtils,48,29,8
com.puppycrawl.tools.checkstyle.utils.ScopeUtils,41,30,30
com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,43,30,2
com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,67,30,0
com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,1,30,30
com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,55,30,0
com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,66,30,0
com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,35,0,0
com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,23,30,30
com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,21,30,30
